id,coin_id,coin_name,coin_symbol,date_event,created_date,title,description,category_id,category_name,proof,source,is_hot,vote_count,positive_vote_count,percentage,can_occur_before,load_date
10367,nolimitcoin,NoLimitCoin,NLC2,2018-12-31,2018-03-21 09:38:27,Beta Test Debit card,In Q4 2018 the first beta test with NLC2 powered debit card will be available.,10,Announcement/News,https://coinmarketcal.com/images/proof/5abd2a58f40580c7bc343fa0358218b6.png,https://nolimitcoin.org/#roadmap,False,10,9,90,True,2018-03-26 00:03:29
7505,all-sports,All Sports,SOC,2018-12-31,2018-01-28 17:58:52,Beta Version Released,Beta version goes online and is open to users,1,Release,https://coinmarketcal.com/images/proof/a2e4d66e5d73f86aa0476572d87eb0bb.png,https://www.allsportschain.com/,False,10,8,80,True,2018-03-26 00:03:29
8307,iungo,Iungo,ING,2018-12-31,2018-02-09 12:28:08,Beta Software Package,Launch of beta which will include a billing layer.  Focus on SME and enterprise sales as well as attracting consumers.,1,Release,https://coinmarketcal.com/images/proof/3733df07d9053976fb7730484f39652e.png,https://iungo.network,False,8,7,88,True,2018-03-26 00:03:29
10451,genesis-vision,Genesis Vision,GVT,2018-12-31,2018-03-22 17:31:09,B2C Marketing Campaign,Marketing B2C campaign launches to attract private investors and traders to platform which will enter active phase in early 2019.,6,Community Event,https://coinmarketcal.com/images/proof/a9a64a50ba9b23d8e5cb77e9a597e061.png,https://blog.genesis.vision/genesis-vision-development-plans-for-2018-from-our-cbdo-alexey-kutsenko-c9aa484bb714,False,6,6,100,True,2018-03-26 00:03:29
10451,genesis-vision,Genesis Vision,GVT,2018-12-31,2018-03-22 17:31:09,B2C Marketing Campaign,Marketing B2C campaign launches to attract private investors and traders to platform which will enter active phase in early 2019.,7,Other,https://coinmarketcal.com/images/proof/a9a64a50ba9b23d8e5cb77e9a597e061.png,https://blog.genesis.vision/genesis-vision-development-plans-for-2018-from-our-cbdo-alexey-kutsenko-c9aa484bb714,False,6,6,100,True,2018-03-26 00:03:29
8731,gatcoin,Gatcoin,GAT,2018-12-31,2018-02-16 19:46:06,System Full Launch,GAT system full launch in December 2018.,7,Other,https://coinmarketcal.com/images/proof/388f4e16e9a6f7f85c5200ac74f293a7.png,https://www.gatcoin.io/wp-content/uploads/2018/01/180104-GATCOIN-Whitepaper-ENG.pdf,False,10,6,60,True,2018-03-26 00:03:29
9635,data,DATA,DTA,2018-12-31,2018-03-06 02:05:26,Token Swap,Conversion of ERC20 based DATA Token to native token.,14,Fork/Swap,https://coinmarketcal.com/images/proof/ebbe653b474c7c002bd861be24f07575.jpeg,https://docsend.com/view/pk5w8wx,False,4,3,75,True,2018-03-26 00:03:29
9636,data,DATA,DTA,2018-12-31,2018-03-06 02:13:02,Closed Beta Launch,Closed Beta launch of DATA on Yomob platform with most of its developers.,1,Release,https://coinmarketcal.com/images/proof/ce561167dd6b5739c2502bc2ab129ef3.jpeg,https://docsend.com/view/pk5w8wx,False,2,2,100,True,2018-03-26 00:03:29
10545,rchain,RChain,RHOC,2018-12-31,2018-03-24 10:46:21,RChain Mainnet,The launch of Rchain's Mainnet is set for December 2018. Please note that this can be changed.,1,Release,https://coinmarketcal.com/images/proof/b07a5c5432a1d702f7002a35ceb8cefe.png,https://rchain.atlassian.net/wiki/spaces/CORE/pages/105709609/The+Flight+to+Mercury,False,0,0,0,True,2018-03-26 00:03:29
10597,shipchain,ShipChain,SHIP,2018-12-31,2018-03-24 21:52:12,Web Platform V1 Release,Track & Trace platform allows carriers to develop their own sidechains. The first version of the ShipChain web platform is released.,1,Release,https://coinmarketcal.com/images/proof/6ac6c2e22207d4689855bc878f8361ab.jpeg,https://shipchain.io/,False,0,0,0,True,2018-03-26 00:03:29
10467,exrnchain,EXRNchain,EXRN,2018-12-31,2018-03-22 20:26:48,EXRT Network Testnet,EXRT network testnet with EXRNchain gateway in Q3\Q4 2018.Building EXRT testnet with smart contracts\dApps.,10,Announcement/News,https://coinmarketcal.com/images/proof/d7fb86704f0bb72215ceed7c5079174d.png,https://exrnchain.com/,False,0,0,0,True,2018-03-26 00:03:29
8139,rebellious,Rebellious,REBL,2019-01-15,2018-02-05 01:40:08,Zen Cart Module,Retailers that have a shop based on the Zen Cart e-commerce platform will be able to accept REBL,1,Release,https://coinmarketcal.com/images/proof/e2546f67664269a5eb4a5111d0bf4633.png,https://www.rebellious.io/rebellious-roadmap/,False,50,48,96,False,2018-03-26 00:03:29
