name,symbol,liquidity,dev_score,community_score,public_interest_score,total_score,report_date
LLToken,LLT,1,0.0,0.084,0.28,0.049,2018-03-14 00:12:46
iQuant,IQT,64,0.0,0.075,0.28,0.049,2018-03-14 00:12:46
eUSD,EUSD,20,0.0,0.07200000000000001,0.28,0.048,2018-03-14 00:12:46
Dutch Coin,DUTCH,17,0.0,0.048,0.34,0.048,2018-03-14 00:12:46
Minex,MINEX,35,0.0,0.067,0.29,0.048,2018-03-14 00:12:46
MSD,MSD,31411,0.0,0.0,0.33,0.048,2018-03-14 00:12:46
Internet of Things,XOT,1569,0.0,0.039,0.36,0.048,2018-03-14 00:12:46
Bitcoin SegWit2X,BT2,8388,0.0,0.0,0.4,0.047,2018-03-14 00:12:46
GameChain System,GCS,2900,0.0,0.047,0.33,0.047,2018-03-14 00:12:46
BTCMoon,BTCM,389,0.0,0.065,0.28,0.046,2018-03-14 00:12:46
Authoreon,AUN,,0.0,0.075,0.27,0.046,2018-03-14 00:12:46
FAPcoin,FAP,270,0.0,0.054000000000000006,0.3,0.045,2018-03-14 00:12:46
NEO GOLD,NEOG,8507,0.0,0.057,0.29,0.045,2018-03-14 00:12:46
Bastonet,BSN,,0.0,0.069,0.28,0.045,2018-03-14 00:12:46
DRP Utility,DRPU,3900,0.0,0.0,0.41,0.043,2018-03-14 00:12:46
LTBcoin,LTBC,,0.0,0.055,0.28,0.042,2018-03-14 00:12:46
TileCoin,XTC,,0.0,0.049,0.29,0.042,2018-03-14 00:12:46
Facecoin,FC,,0.0,0.055,0.27,0.040999999999999995,2018-03-14 00:12:46
Akuya Coin,AKY,46,0.0,0.047,0.27,0.040999999999999995,2018-03-14 00:12:46
RHFCoin,RHFC,419,0.0,0.047,0.27,0.040999999999999995,2018-03-14 00:12:46
Wi Coin,WIC,212,0.0,0.12,0.071,0.04,2018-03-14 00:12:46
UniversalRoyalCoin,UNRC,49,0.0,0.032,0.3,0.04,2018-03-14 00:12:46
Casino,CASINO,,0.0,0.0,0.39,0.039,2018-03-14 00:12:46
President Johnson,GARY,1739,0.0,0.0,0.37,0.039,2018-03-14 00:12:46
MMNXT,MMNXT,,0.0,0.043,0.27,0.038,2018-03-14 00:12:46
NxttyACCI,ACCI,,0.0,0.032,0.29,0.037000000000000005,2018-03-14 00:12:46
Bitfinex Bitcoin Future,BT1,4962,0.0,0.0,0.37,0.037000000000000005,2018-03-14 00:12:46
Round,ROUND,,0.0,0.0,0.35,0.035,2018-03-14 00:12:46
Infinity Pay,IPY,5,0.0,0.0,0.33,0.035,2018-03-14 00:12:46
Project-X,NANOX,1292,0.0,0.0,0.31,0.033,2018-03-14 00:12:46
PinkDog,PDG,106,0.0,0.0,0.31,0.033,2018-03-14 00:12:46
DHG,DHG,,0.0,0.0,0.32,0.032,2018-03-14 00:12:46
The Deal Coin,DLSD,,0.0,0.0,0.32,0.032,2018-03-14 00:12:46
SwapToken,TOKEN, 4927,0.0,0.0,0.3,0.032,2018-03-14 00:12:46
SIGMAcoin,SIGMA,1545,0.0,0.0,0.3,0.032,2018-03-14 00:12:46
Hacker Gold,HKG,,0.0,0.0,0.31,0.031,2018-03-14 00:12:46
Wowcoin,WOW,167,0.0,0.0,0.29,0.031,2018-03-14 00:12:46
SnakeEyes,SNAKE,667,0.0,0.0,0.29,0.031,2018-03-14 00:12:46
DigiEuro,DEUR,,0.0,0.0,0.3,0.03,2018-03-14 00:12:46
NXTventure,NXTV,,0.0,0.0,0.3,0.03,2018-03-14 00:12:46
Pangea Poker,PANGEA,,0.0,0.0,0.29,0.028999999999999998,2018-03-14 00:12:46
jl777hodl,JLH,,0.0,0.0,0.29,0.028999999999999998,2018-03-14 00:12:46
SocialxBot,XBOT,,0.0,0.0,0.29,0.028999999999999998,2018-03-14 00:12:46
Rcoin,RCN,2,0.0,0.0,0.27,0.028999999999999998,2018-03-14 00:12:46
TeslaCoilCoin,TESLA,1291,0.0,0.0,0.26,0.027999999999999997,2018-03-14 00:12:46
Krypton,KR,,0.0,0.0,0.28,0.027999999999999997,2018-03-14 00:12:46
XTD Coin,XTD,31,0.0,0.012,0.22,0.027000000000000003,2018-03-14 00:12:46
